feature,importance
EXT_SOURCE_3,0.06721032171367325
EXT_SOURCE_2,0.050916667999808096
AMT_GOODS_PRICE,0.013035807054310511
EXT_SOURCE_1,0.008419208686580748
DAYS_EMPLOYED,0.004327797849741244
FLAG_OWN_CAR=N,0.0035805370342461007
FLAG_OWN_CAR=Y,0.002520689652269037
NAME_EDUCATION_TYPE=Secondary / secondary special,0.0024221775222262876
FLAG_DOCUMENT_14,0.0019607702806585525
AMT_CREDIT,0.0018287892859217836
CODE_GENDER=M,0.0017963729012495655
DEF_30_CNT_SOCIAL_CIRCLE,0.0015656692804657535
REG_CITY_NOT_LIVE_CITY,0.0015599858883479367
FLAG_DOCUMENT_16,0.0014376877098118968
DAYS_LAST_PHONE_CHANGE,0.001353278812061598
CODE_GENDER=F,0.0013471744279350828
ORGANIZATION_TYPE=Self-employed,0.0012196138492899244
CREDIT_INCOME_RATIO,0.0011903549046832218
REGION_RATING_CLIENT_W_CITY,0.0009421801155370391
AMT_REQ_CREDIT_BUREAU_QRT,0.0009015543866947029
