feature,mean_abs_shap_or_proxy
EXT_SOURCE_2,0.2501881113619262
EXT_SOURCE_3,0.06433408577878108
CREDIT_INCOME_RATIO,0.02806819531899729
AMT_CREDIT,0.0058314522197140395
AMT_ANNUITY,0.0018910142172586797
ANNUITY_INCOME_RATIO,0.0015147914934061646
NAME_FAMILY_STATUS=Married,0.00042572571383314717
NAME_EDUCATION_TYPE=Incomplete higher,0.0003762227238525151
NAME_EDUCATION_TYPE=Higher,0.00033662033186798723
NAME_FAMILY_STATUS=Civil marriage,0.0003168191358757788
NAME_EDUCATION_TYPE=Secondary,0.00017821076393009783
CNT_CHILDREN,0.00013860837194568099
NAME_CONTRACT_TYPE=Cash loans,0.00013860837194568099
DAYS_BIRTH,0.00010890657795725733
NAME_FAMILY_STATUS=Single,0.0
NAME_EDUCATION_TYPE=Lower secondary,0.0
AMT_INCOME_TOTAL,0.0
NAME_CONTRACT_TYPE=Revolving loans,0.0
AGE_YEARS,0.0
DAYS_EMPLOYED_ANOM,0.0
